model,mode,pass@1,pass@3,accuracy
Claude Opus 4.5,NO SEARCH,61.54,61.54,58.97
Claude Opus 4.5,WITH SEARCH,80.77,80.77,78.21
Claude Opus 4.6,NO SEARCH,69.23,73.08,70.51
Claude Opus 4.6,WITH SEARCH,84.62,92.31,85.9
Claude Sonnet 4.5,NO SEARCH,53.85,69.23,55.13
Claude Sonnet 4.5,WITH SEARCH,84.62,92.31,85.9
Claude Sonnet 4.6,NO SEARCH,42.31,57.69,41.03
Claude Sonnet 4.6,WITH SEARCH,84.62,92.31,80.77
GPT-5.1,NO SEARCH,61.54,73.08,62.82
GPT-5.1,WITH SEARCH,76.92,84.62,76.92
GPT-5.2,NO SEARCH,42.31,53.85,41.03
GPT-5.2,WITH SEARCH,53.85,73.08,57.69
GPT-5.4,NO SEARCH,53.85,61.54,56.41
GPT-5.4,WITH SEARCH,57.69,69.23,60.26
GPT-5.4-mini,NO SEARCH,30.77,42.31,32.05
GPT-5.4-mini,WITH SEARCH,73.08,84.62,74.36
GPT-5.4-nano,NO SEARCH,0.0,19.23,6.41
GPT-5.4-nano,WITH SEARCH,50.0,53.85,41.03
Gemini 3,NO SEARCH,65.38,84.62,70.51
Gemini 3,WITH SEARCH,88.46,96.15,92.31
Gemini 3 Flash,NO SEARCH,65.38,69.23,61.54
Gemini 3 Flash,WITH SEARCH,88.46,100.0,89.74
Gemini 3.1,NO SEARCH,73.08,88.46,76.92
Gemini 3.1,WITH SEARCH,92.31,100.0,94.87
